brand,title,product_name,price,rating
Model #: GV-R66EAGLE-8GD,GIGABYTE Radeon RX 6600 EAGLE 8G Graphics Card| WINDFORCE 3X Cooling System| 8GB 128-bit GDDR6| GV-R66EAGLE-8GD Video Card,$179.99 ,4.6,
Model #: TUF-RTX4070TIS-O16G-GAMING,ASUS TUF Gaming NVIDIA GeForce RTX 4070 Ti SUPER OC Edition Gaming Graphics Card (PCIe 4.0| 16GB GDDR6X| HDMI 2.1a| DisplayPort 1.4a) TUF-RTX4070TIS-O16G-GAMING,$819.99 ,4.9,
Model #: RX7700XT CL 12GO,ASRock Challenger Radeon RX 7700 XT 12GB GDDR6 PCI Express 4.0 x16 ATX Video Card RX7700XT CL 12GO,$389.99 ,4.6,
Model #: TUF-RTX4080S-O16G-GAMING,ASUS TUF Gaming NVIDIA GeForce RTX 4080 SUPER OC Edition Gaming Graphics Card (PCIe 4.0| 16GB GDDR6X| HDMI 2.1a| DisplayPort 1.4a) TUF-RTX4080S-O16G-GAMING,$1 ,99,4.7
Model #: GV-R78XTGAMING OC-16GD,GIGABYTE Radeon RX 7800 XT GAMING OC 16G Graphics Card| 3x WINDFORCE Fans 16GB 256-bit GDDR6| GV-R78XTGAMING OC-16GD Video Card,$484.99 ,4.6,
Model #: RX7800XT CL 16GO,ASRock Challenger Radeon RX 7800 XT 16GB GDDR6 PCI Express 4.0 x16 ATX Video Card RX7800XT CL 16GO,$479.99 ,4.6,
Model #: RX7900XT PG 20GO,ASRock Phantom Gaming Radeon RX 7900 XT 20GB GDDR6 PCI Express 4.0 ATX Video Card RX7900XT PG 20GO,$689.99 ,4.6,
Model #: GV-N408SGAMING OC-16GD,GIGABYTE GeForce RTX 4080 SUPER GAMING OC 16G Graphics Card| 3x WINDFORCE Fans| 16GB 256-bit GDDR6X| GV-N408SGAMING OC-16GD Video Card,$1 ,49,4.8
Model #: DUAL-RTX4070S-O12G-EVO,ASUS Dual GeForce RTX 4070 SUPER EVO OC Edition 12GB GDDR6X (PCIe 4.0| 12GB GDDR6X| DLSS 3| HDMI 2.1a| DisplayPort 1.4a| 2.5-slot design| Axial-tech fan design| 0dB technology) DUAL-RTX4070S-O12G-EVO,$599.99 ,4.5,
Model #: GV-N4090GAMING OC-24GD,GIGABYTE Gaming GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4090GAMING OC-24GD,$1 ,749,4.7
Model #: RX7900GRE SL 16GO,ASRock Steel Legend Radeon RX 7900 GRE 16GB GDDR6 PCI Express 4.0 ATX Video Card RX7900GRE SL 16GO,$549.99 ,4.7,
Model #: GV-N4060GAMING OC-8GD,GIGABYTE GeForce RTX 4060 GAMING OC 8G Graphics Card| 3x WINDFORCE Fans| 8GB 128-bit GDDR6| GV-N4060GAMING OC-8GD Video Card,$314.99 ,4.8,
Model #: RX7900GRE CL 16GO,ASRock Challenger Radeon RX 7900 GRE 16GB GDDR6 PCI Express 4.0 ATX Video Card RX7900GRE CL 16GO,$529.99 ,4.7,
Model #: GV-R79GREGAMING OC-16GD,GIGABYTE Radeon RX 7900 GRE GAMING OC 16G Graphics Card| 3x WINDFORCE Fans 16GB 256-bit GDDR6| GV-R79GREGAMING OC-16GD Video Card,$539.99 ,3.9,
Model #: RX6750XT CLP 12GO,ASRock Challenger Pro Radeon RX 6750 XT 12GB GDDR6 PCI Express 4.0 Video Card RX6750XT CLP 12GO,$299.99 ,4.5,
Model #: PELADN RX 580 8GB,PELADN RX 580 8GB Graphics Card GPU DirectX 12 256-Bit GDDR5 PCI Express 3.0 Gaming Video Card,$82.00 ,4,
Model #: GV-N408SAERO OC-16GD,GIGABYTE GeForce RTX 4080 SUPER AERO OC 16G Graphics Card| 3x WINDFORCE Fans| 16GB 256-bit GDDR6X| GV-N408SAERO OC-16GD Video Card,$1 ,99,4.8
Model #: VCG4080S16TFXPB1-O,PNY GeForce RTX 4080 SUPER 16GB VERTO Overclocked Triple Fan DLSS 3 VCG4080S16TFXPB1-O,$964.99 ,4.8,
